bgg_id,image
16768,https://cf.geekdo-images.com/7vT9GoAJ5DRoNdzAg-oRyA__original/img/nfzq2-N9lwviQLk-DvCAOLi_he4=/0x0/filters:format(jpeg)/pic71261.jpg
16769,
16772,https://cf.geekdo-images.com/lqVfulTl86WqS9KW89HqLQ__original/img/crOxBMJjYZEr-H_n7KXtqpsjUU4=/0x0/filters:format(jpeg)/pic347555.jpg
16773,
16774,https://cf.geekdo-images.com/m91hPjQ6tjZIVBoK6yLOjw__original/img/hE_uNrKswVmnWNUxy-kazW33YjM=/0x0/filters:format(jpeg)/pic206083.jpg
16778,
16779,https://cf.geekdo-images.com/ass8wps7P5AC0fIDfauROA__original/img/ii9QB3LdPJdI-S6a6gOQfgVJKoo=/0x0/filters:format(jpeg)/pic75277.jpg
16780,
16782,https://cf.geekdo-images.com/_TvvztMgvz6JFfUnevjZrg__original/img/9Sq2pE6n4E1FLhiP5uu2BGULtWs=/0x0/filters:format(jpeg)/pic172565.jpg
16783,
16785,https://cf.geekdo-images.com/fRwJ-y-_GwDr4ELsmvh9LA__original/img/BEPe09jNXdty9qI6OKaROP-vRbY=/0x0/filters:format(jpeg)/pic7899606.jpg
16787,
16788,https://cf.geekdo-images.com/ZXyLYhx0EzXmZKUue8ORoQ__original/img/MLZiwyoNXFjomKW5thnwOo5AuxA=/0x0/filters:format(jpeg)/pic1214808.jpg
16789,
16790,https://cf.geekdo-images.com/vDF-7Ya5t6vKDckta49WRw__original/img/6-pIrdH6uDcyWaSKOYKwKxkfYBc=/0x0/filters:format(jpeg)/pic917868.jpg
16791,
16792,https://cf.geekdo-images.com/cO-yH099GReSItDJzqZ7EA__original/img/COHXnNJyDBIQuUzFOWvyVo9P2-c=/0x0/filters:format(jpeg)/pic2257872.jpg
16793,
16794,https://cf.geekdo-images.com/5KKI446-uIT7rc0igNuHcg__original/img/Ulh-xoHaWaOBJru66a0IrfO7nkc=/0x0/filters:format(jpeg)/pic1858291.jpg
16795,
16796,https://cf.geekdo-images.com/cTfUulYQiOk4jo1EGMeRwg__original/img/pk9p2NDygnc_kczrVOu3PMKsAuw=/0x0/filters:format(jpeg)/pic71310.jpg
16797,
16798,https://cf.geekdo-images.com/hYk3uOmmTtvkdOYHXrM8qQ__original/img/EklLzqQ6MBHD84_rDy0WjIj3tIE=/0x0/filters:format(jpeg)/pic1906571.jpg
16799,
16800,https://cf.geekdo-images.com/e9SIgrGGwXZbIJ6FOKV_hA__original/img/l4AQkCXeXbKUv4sZxczItB3qRxE=/0x0/filters:format(jpeg)/pic263485.jpg
16801,
