bgg_id,image
17479,
17480,https://cf.geekdo-images.com/2JdFdME69ZR1-sM92QouBg__original/img/_TDRXjugjf6vEiiRtFBlm01irRM=/0x0/filters:format(jpeg)/pic120952.jpg
17481,
17482,https://cf.geekdo-images.com/Zb5iWb2oYIt3n-wjybiHIA__original/img/VvRgQjObSYFdDZdWvi6PMVvdVjU=/0x0/filters:format(jpeg)/pic194378.jpg
17483,
17484,https://cf.geekdo-images.com/y78cRzmTNq1xE8Ss8FeUZQ__original/img/xo8v8Onc1u9CusBT0l-hykMBZyc=/0x0/filters:format(jpeg)/pic1716642.jpg
17489,
17490,https://cf.geekdo-images.com/PAZ1R2GaZma4VBvvX7ohrA__original/img/3_M0vR4Wc4i7EVm2TmmGEN8EGSE=/0x0/filters:format(jpeg)/pic3961648.jpg
17491,
17492,https://cf.geekdo-images.com/U-GjxfcF4voWRFZfG6z6ng__original/img/y_8o08Aqdqm-fEXjy4USdacwLRQ=/0x0/filters:format(jpeg)/pic76021.jpg
17493,
17494,https://cf.geekdo-images.com/5zbLdMR4JS82TvJh05WURA__original/img/89zf6FaLhHJHS90aubXatXHRW0s=/0x0/filters:format(jpeg)/pic76017.jpg
17495,
17496,https://cf.geekdo-images.com/6zCwWyBSAnPZcDlwVqp5VQ__original/img/JnwZ3qsA-4aYp34UDKvsYI9sa2w=/0x0/filters:format(jpeg)/pic76022.jpg
17497,
17498,https://cf.geekdo-images.com/vn3ndqOH4_oon6XoBWhAPQ__original/img/c25-RChTdwLXY_P681kMtjUS0S8=/0x0/filters:format(jpeg)/pic76018.jpg
17499,
17500,https://cf.geekdo-images.com/pgaBnZIqtj1dKCRBc7A70Q__original/img/tYV_8yJecMCt1mMYc7Wu7HBdAL8=/0x0/filters:format(jpeg)/pic75546.jpg
17501,
17502,https://cf.geekdo-images.com/US2j381ihiDDC-ppZ-JRgg__original/img/6mXS1ASlMrDKHa2gmP6Fu4koHjY=/0x0/filters:format(jpeg)/pic81540.jpg
17503,
17504,https://cf.geekdo-images.com/n1SgvG-IeenrR7PKAtzJQA__original/img/rpqZEpL7YBVMdPQzCPAM5tXqEB8=/0x0/filters:format(jpeg)/pic75298.jpg
17505,
