bgg_id,image
16532,
16533,https://cf.geekdo-images.com/rUMBgK33K84W0BI7GDHVEg__original/img/V5VXR6OLsuXbBJBqTBggr3MWDvE=/0x0/filters:format(jpeg)/pic69977.jpg
16534,
16536,
16537,
16538,https://cf.geekdo-images.com/By4Ju-IYGKKTan0R-IF_8A__original/img/vRin4GqPsycTr_GYJn5lSHIjQm4=/0x0/filters:format(jpeg)/pic438658.jpg
16539,
16541,https://cf.geekdo-images.com/_Z9-1zMpBxwGUyPIxP3Jcg__original/img/cyL0OD1M1wOHNJIjjKWyhBPtiz4=/0x0/filters:format(jpeg)/pic1029383.jpg
16542,
16543,https://cf.geekdo-images.com/KFjGgKjA1riqoi7OPo5FSA__original/img/KUKjMRr4CnsVWdkhl1_V5Uh1uG0=/0x0/filters:format(jpeg)/pic1708329.jpg
16544,
16546,https://cf.geekdo-images.com/wsEL8J0-DDLbt9y34Tv4lA__original/img/oc2Z5-s50KJ4G0sxzeIOue4WWdE=/0x0/filters:format(jpeg)/pic6563728.jpg
16547,
16548,https://cf.geekdo-images.com/q2j2QuBe44pMwIGoctP_Og__original/img/ahqX326oKgWsvG_umyQvLAEqnXs=/0x0/filters:format(jpeg)/pic121652.jpg
16549,
16550,https://cf.geekdo-images.com/7qYFtcM4T3DgRNKGZoVZQw__original/img/EnpGX2PiaPYSizUBE4y5T5ArkCE=/0x0/filters:format(jpeg)/pic5266405.jpg
16551,
16553,https://cf.geekdo-images.com/fJh_swTOjnslbyK663zzXA__original/img/lcG7G6m4tjJYNBJPW9-5e-i8ofc=/0x0/filters:format(jpeg)/pic70399.jpg
16555,
16556,https://cf.geekdo-images.com/hJqgkRo6oNfHqBCdBHtZAQ__original/img/I-ae4suPWeNvxa4zefU2PuytOT0=/0x0/filters:format(jpeg)/pic1704707.jpg
16557,
16558,https://cf.geekdo-images.com/VFR-KlBCweU3DtezAE5vfg__original/img/fZKZU79woBom4wZ424dENKosU9o=/0x0/filters:format(jpeg)/pic299912.jpg
16559,
16560,https://cf.geekdo-images.com/Vjs0pp3xT8gFNaprKPnEsQ__original/img/Mn-ePyhsL67kzeTplkWiADb01yw=/0x0/filters:format(jpeg)/pic3155184.jpg
16561,
16562,https://cf.geekdo-images.com/96RvJc5IDLpmVUgw8XYY3g__original/img/V9WbQa-A8YYXp0Zy8_bS9-eEwj8=/0x0/filters:format(jpeg)/pic186565.jpg
16563,
