bgg_id,image
16996,https://cf.geekdo-images.com/kvC29i-2Dz6mlSnxXpx-OA__original/img/bO2-7pdUxUqYW9gjA-KG0kOffLs=/0x0/filters:format(jpeg)/pic72463.jpg
16997,
16998,https://cf.geekdo-images.com/ugx8KcQky20SB43HtLzZZA__original/img/d8m7WkktvaBF-q6sS7DaozqMsR4=/0x0/filters:format(jpeg)/pic7046706.jpg
16999,
17000,https://cf.geekdo-images.com/NcIYUCA28jbFX2OoKfoqXw__original/img/IDSYnypc5lgjhEDgYuSyx5-EVLo=/0x0/filters:format(jpeg)/pic72708.jpg
17001,
17002,https://cf.geekdo-images.com/-ZId5-6FnF_dTseqNE6aOw__original/img/yTJGDLS094dVz69yygzNjKBX8AU=/0x0/filters:format(jpeg)/pic250591.jpg
17003,
17004,https://cf.geekdo-images.com/5FOI1_8q61kXcnTBwy07Ow__original/img/rsDdczqg-iQzDg9IcGNkZJNXwxY=/0x0/filters:format(jpeg)/pic1131844.jpg
17005,
17006,https://cf.geekdo-images.com/QQrTtO1fqL1dm2wGtwY_uw__original/img/5zMcFskI5_9EEd3PyUX46e2xXv8=/0x0/filters:format(jpeg)/pic6964644.jpg
17007,
17008,https://cf.geekdo-images.com/GXOOQI9WH0xzeEDZqPFUXw__original/img/5NzZhFCn7tOHs8MhgiVQknL6PuI=/0x0/filters:format(jpeg)/pic82673.jpg
17009,
17010,https://cf.geekdo-images.com/Flb5SZizGF-jvt-tveX8gQ__original/img/BOp_OaHp8p1j42mPgmgAkcxfqzQ=/0x0/filters:format(jpeg)/pic72749.jpg
17012,
17013,https://cf.geekdo-images.com/Xx5YrVAURWNKiCO_pxhQPg__original/img/Uldwbzawt2kQ3GekZXIqOcqsY3I=/0x0/filters:format(jpeg)/pic225758.jpg
17014,
17015,
17016,
17017,https://cf.geekdo-images.com/j4HtQ5gHXwqd4bFIiON3XA__original/img/wpd-KD43p4gQn0nsR2ND9sbKiQE=/0x0/filters:format(jpeg)/pic91067.jpg
17018,
17019,https://cf.geekdo-images.com/ptE_AaSuq_trpSO-nohuHg__original/img/Zefr-lsVzA6GWRoQ26fVmgUUHhw=/0x0/filters:format(jpeg)/pic5125791.jpg
17021,
17022,https://cf.geekdo-images.com/71uhrySeuLEdfsnc1_Vr0w__original/img/kXHeoH0M3a_s9VUTA4O7HXiqg-0=/0x0/filters:format(jpeg)/pic80618.jpg
17023,
17025,https://cf.geekdo-images.com/tTaHGpCEQLnl3B4s078Dwg__original/img/3i27aT0vrkZCBW8ilLwbvvUkcoo=/0x0/filters:format(jpeg)/pic8968937.jpg
17026,
17027,https://cf.geekdo-images.com/2mImrsHAGb7zDj9JTHIU7g__original/img/4YeQ9ESTE38flEvnX27uS1t75I8=/0x0/filters:format(jpeg)/pic256091.jpg
17028,
17029,https://cf.geekdo-images.com/moNrjvYVYjQQ57TQV3jinQ__original/img/IFCxd2L-tlVg4oAbFoLKPY8gZWc=/0x0/filters:format(jpeg)/pic72843.jpg
17030,
17031,https://cf.geekdo-images.com/fXQBMng-xween-Wq1cRB0g__original/img/EYwn_wpFxXJtRwJva3lxCsC--io=/0x0/filters:format(jpeg)/pic203173.jpg
17032,
17034,https://cf.geekdo-images.com/gbrR01zPkWOT5ftJ1LBaNA__original/img/QSA_e6BLkAAKyZ6A30jhlXys21A=/0x0/filters:format(jpeg)/pic93778.jpg
17035,
