bgg_id,image
18026,
18027,https://cf.geekdo-images.com/y3CoX_5Fxjd-NV8-cSQ1JQ__original/img/3iFdtMd39lqX37Bn3KM50PLj-1s=/0x0/filters:format(jpeg)/pic78712.jpg
18028,
18029,https://cf.geekdo-images.com/1tyyRxadvmcWCGkBCetYgA__original/img/qaqZJgA7SAKm-EGN692Pk_tn5p0=/0x0/filters:format(jpeg)/pic78669.jpg
18030,
18031,https://cf.geekdo-images.com/UUmi7X3OSpE4VW_I2OVz2w__original/img/lnopGozW8mQHNqPTxsq5IB8pfeA=/0x0/filters:format(jpeg)/pic80940.jpg
18032,
18033,https://cf.geekdo-images.com/SFeG0J3zVfEU5_Cyg4gjBg__original/img/xL8ECQdgJQrD7itzEt0j2FYnkAI=/0x0/filters:format(jpeg)/pic79027.jpg
18036,
18037,https://cf.geekdo-images.com/KIjd4b77IPFmx9vaqEwwZg__original/img/KZJHC8EUthcdoZWzylXHrk_Wk_w=/0x0/filters:format(jpeg)/pic78713.jpg
18038,
18039,https://cf.geekdo-images.com/bhPOgo8v01c8hSDvWscrqw__original/img/EjD3I89mRRwXCg71EkS9u8JPpZk=/0x0/filters:format(jpeg)/pic469948.jpg
18040,
18041,https://cf.geekdo-images.com/oXrF39B_8e0fx5RSK62pCw__original/img/yyGf2eRSshssNS-QX74dX3QknvI=/0x0/filters:format(jpeg)/pic1592309.jpg
18042,
18043,https://cf.geekdo-images.com/A_QXEAlyT4gRgNkMCxl6sQ__original/img/p04MLktIJPLZACnIXAlfak1RCt8=/0x0/filters:format(jpeg)/pic80902.jpg
18044,
18045,https://cf.geekdo-images.com/kH--lBfiEcGrYhVZ4sBVng__original/img/tlotjSxHytDt4c6565OPUHR_pCE=/0x0/filters:format(jpeg)/pic99268.jpg
18046,
18047,https://cf.geekdo-images.com/-fX4PwH2rO_QIpLnclSvAw__original/img/_jhHZodmr80zAKh_0j1mwT_0zUE=/0x0/filters:format(jpeg)/pic78714.jpg
18048,
18049,https://cf.geekdo-images.com/DTSFu9p90ghOVaP7m3Td4Q__original/img/blFgzWbd9G3b0NY0rtMYTUJJ5pY=/0x0/filters:format(jpeg)/pic78716.jpg
18050,
18051,https://cf.geekdo-images.com/DIlvdiqrtsThyG-zrbcoaQ__original/img/D4bM-_-Y76Ix3VLFaQpWnVwoPJ4=/0x0/filters:format(jpeg)/pic385756.jpg
18052,
18053,https://cf.geekdo-images.com/TDKVIUezYCggrNP6Hat6TQ__original/img/57wLAt7LV5CD-8If6wzJLqZf0TA=/0x0/filters:format(jpeg)/pic82474.jpg
18054,
18055,https://cf.geekdo-images.com/wICvrXwii3qZ-sU6bmBsCQ__original/img/IIgFnFFDpRMQi1Reqlrl3i94e_k=/0x0/filters:format(jpeg)/pic337930.jpg
18056,
18057,https://cf.geekdo-images.com/FEqWPNd83VmaD_FTsqb2BQ__original/img/Sy8BZcc-9ADahyTBdoFZV31o5Lw=/0x0/filters:format(jpeg)/pic78828.jpg
18058,
18059,https://cf.geekdo-images.com/0q2mTBfbmg1-JKdOQqK49w__original/img/09jEAwtW8m9f2wJnGU2enV8pw0o=/0x0/filters:format(jpeg)/pic80816.jpg
18060,
18061,https://cf.geekdo-images.com/8rVj8yKzLa03SSL5Esxbhw__original/img/lMb85BSZ0JswKjUlLkWd48hYRXo=/0x0/filters:format(jpeg)/pic148713.jpg
18062,
18063,https://cf.geekdo-images.com/NRIjTeX6AbdhOp-w1t1W3w__original/img/m-D50mzgQbzhl-SpsSW9NbPsu_4=/0x0/filters:format(jpeg)/pic78819.jpg
18064,
18065,https://cf.geekdo-images.com/4meSuxVxu4Pli_AxqRI2RQ__original/img/dyR0MYHxo6YVbS1xL-vvWrI0_uQ=/0x0/filters:format(jpeg)/pic100007.jpg
18066,
18067,https://cf.geekdo-images.com/d-YyJDVMGRAsUn6CUT6K5w__original/img/HRT4XYnRDoV9IdVBsNVy_bSqvW8=/0x0/filters:format(jpeg)/pic78875.jpg
18068,
18069,https://cf.geekdo-images.com/_-6-ZgJM890AzHhClkFGuQ__original/img/oKnPrrcvKsP35tGc0i6yI4fl_7Q=/0x0/filters:format(png)/pic2873867.png
18070,
18071,https://cf.geekdo-images.com/TcONrNcbfrFsVCQmDOU8pw__original/img/g53_FyrkgYE-1k7rhTGhYdg9gK8=/0x0/filters:format(png)/pic4898827.png
18072,
18073,https://cf.geekdo-images.com/pcUQ-X8WjxzES3IXVLBm4A__original/img/sl8qbJzBHkX6AYRBQZLdrwZTvkk=/0x0/filters:format(png)/pic4898824.png
18074,
18075,https://cf.geekdo-images.com/gPcKxwm0NMb_NWVRS58spA__original/img/Kfx4yhtUDWCSWCipnipy-X6fGis=/0x0/filters:format(jpeg)/pic78927.jpg
18076,
18077,https://cf.geekdo-images.com/YtU2fj0ao3M55m0OHUmSSg__original/img/MU8rmLv3IzeTkMGlavtp93P3KjM=/0x0/filters:format(jpeg)/pic78858.jpg
18078,
18079,https://cf.geekdo-images.com/kovnG5qAZ5qj0IamJvF36A__original/img/dUZHcDKzssirCsFWU9pDIgdFE5c=/0x0/filters:format(jpeg)/pic78860.jpg
18080,
18083,https://cf.geekdo-images.com/n1i6XgBNxMW0g02TDS4F_w__original/img/J99nEWMijbF_dxhJkdxedXLojQ8=/0x0/filters:format(jpeg)/pic1248873.jpg
18084,
18085,https://cf.geekdo-images.com/c3cJNB8CtL5y_uqwHaMQlQ__original/img/lxpsM-6S4SmY8tkOzTi4fOj1Muw=/0x0/filters:format(jpeg)/pic1713804.jpg
18086,
18087,https://cf.geekdo-images.com/vwgepnZnBMnI4_E7aEYMeA__original/img/MCqz4seVTVaHk84V12jP9oonzgI=/0x0/filters:format(jpeg)/pic224670.jpg
18088,
18089,https://cf.geekdo-images.com/I2IlJqFdHRSPuifBzZBqGQ__original/img/ZMJZz2u5Km2VfuMT05SEbfTpSs4=/0x0/filters:format(jpeg)/pic225799.jpg
18090,
18091,https://cf.geekdo-images.com/Vn1MG0BCJUNIJiK8MHjXXg__original/img/4JJh7h5ZeW9N_oledF3YGMbO0MM=/0x0/filters:format(png)/pic1067541.png
18092,
18093,https://cf.geekdo-images.com/CIkVFqV3TG-XQ-z0qaCpMQ__original/img/UFjXOyNvhi3YLJdtR7ofGv4ybtI=/0x0/filters:format(jpeg)/pic80975.jpg
18094,
18095,https://cf.geekdo-images.com/0nVIGj8JWdr2voZO1tDAXQ__original/img/5I5JWaCAZ4JVcbZgv4z9npzPgV4=/0x0/filters:format(jpeg)/pic480068.jpg
18096,
18097,https://cf.geekdo-images.com/ZTWhIexgclBZqjBherLI6g__original/img/d6u2baVztt6JWwMddmzEjlElO9w=/0x0/filters:format(jpeg)/pic643176.jpg
18098,
18099,https://cf.geekdo-images.com/-raKYrG13cRqsKYz_sABSA__original/img/1m55eTo4Zlz-tHtD_U8REXvVGZI=/0x0/filters:format(jpeg)/pic1147062.jpg
18100,
18101,https://cf.geekdo-images.com/JBFVH0i4W-ZVou5RaneaIw__original/img/A2ctGCjb0zPVZKWLtjVdxaw-o5I=/0x0/filters:format(jpeg)/pic79144.jpg
18102,
18103,https://cf.geekdo-images.com/oerX10-fvCnDGFjhiCZwLg__original/img/O4Og3SALAYXybchg1icOndko-Xk=/0x0/filters:format(jpeg)/pic798238.jpg
18104,
18105,https://cf.geekdo-images.com/43KzzTY3TQiVgjr8JqwEag__original/img/jxH9Lf6pfl140fcueAKxDaUuwHE=/0x0/filters:format(jpeg)/pic79560.jpg
18106,
18107,https://cf.geekdo-images.com/InitOJkJEPkGMhc-wbmkzQ__original/img/115uyYbkKgWjtyLegThkSKyLnQo=/0x0/filters:format(jpeg)/pic79204.jpg
18108,
18109,https://cf.geekdo-images.com/p8DTrxpcTQhza3JbqUavug__original/img/KgpJ4_Bofd0eS72hPXaDX-ZnnqY=/0x0/filters:format(jpeg)/pic79248.jpg
18110,
18111,https://cf.geekdo-images.com/-zpINblP97uUSYVx-Wy_FA__original/img/ULmHJIZad7mg9bjWP3WSEsNBI2c=/0x0/filters:format(jpeg)/pic79871.jpg
18112,
18114,https://cf.geekdo-images.com/CweqFWJtEzTYpvKh90uOeQ__original/img/5LdLPM5C_AhY5OcmwItuJ2blKKY=/0x0/filters:format(jpeg)/pic1406410.jpg
18115,
18116,https://cf.geekdo-images.com/4NwFcp9sut8exp8RNtejkA__original/img/HxyyQb6xs0bRzDwrcOIA9QUIAo4=/0x0/filters:format(jpeg)/pic79564.jpg
18117,
18118,https://cf.geekdo-images.com/uXBNT26INXrMpZAIHQ5zvg__original/img/knMexbeUBoqCOsgtVbUFxIi9SaY=/0x0/filters:format(jpeg)/pic79302.jpg
18119,
18120,https://cf.geekdo-images.com/AuZmAik1uz_ti6SwhDPPbg__original/img/tHC-5GywJHTnjN_b3dup6PIo3wY=/0x0/filters:format(jpeg)/pic79417.jpg
18121,
18122,https://cf.geekdo-images.com/vAicWcO0wForGzsBP9lplA__original/img/p4CH9zddqNLSeO8k32oBXptLWZ8=/0x0/filters:format(jpeg)/pic79658.jpg
18124,
18125,https://cf.geekdo-images.com/z69EcTwnXKNnVliYDO2ddw__original/img/-AjEDvc2TVchF6Aqo5JRFRSW1HA=/0x0/filters:format(jpeg)/pic97737.jpg
18126,
18127,https://cf.geekdo-images.com/5XAyQfD568pDsidVK0hlBg__original/img/5TiEl0Fw-Op1xBLlj5c1wr2c5KQ=/0x0/filters:format(jpeg)/pic92734.jpg
18128,
18129,https://cf.geekdo-images.com/8AcWm5Sa1v2X30dRYh8Wsg__original/img/9DZrold34iaccze2P1nO3PV1VZI=/0x0/filters:format(jpeg)/pic239689.jpg
18130,
18131,https://cf.geekdo-images.com/y8E1y6235DARK05kvmz0sA__original/img/rr4Mmju7GXs1bculxI2GZFfFZ_c=/0x0/filters:format(jpeg)/pic79514.jpg
