bgg_id,image
16888,https://cf.geekdo-images.com/D3RUlSbbd0Gm6r4inwtZIw__original/img/KNcVkdxkx0R3LQw90tjI7hs0anU=/0x0/filters:format(jpeg)/pic71573.jpg
16889,
16890,https://cf.geekdo-images.com/Q-__ezWx7yM8QV2h0bu9JA__original/img/JpJ7sKww6p38qa3qE2wlvuE172M=/0x0/filters:format(jpeg)/pic71528.jpg
16891,
16892,https://cf.geekdo-images.com/8_ptI1hR5G_SYZ9iKc6Qhg__original/img/R9_LkBvMObOytnLtVeB5ioxUgrU=/0x0/filters:format(jpeg)/pic71525.jpg
16893,
16894,https://cf.geekdo-images.com/-FRByP_6Y4xajYEWMRjCXg__original/img/UGm44gz6Jx_yBEgrDGZFc5D6uYg=/0x0/filters:format(jpeg)/pic71571.jpg
16895,
16896,https://cf.geekdo-images.com/5UJSuenOA-L4e0CzMA2OuA__original/img/3i56-8TBeM0MfGr39SVB38gqmEw=/0x0/filters:format(jpeg)/pic71568.jpg
16897,
16898,https://cf.geekdo-images.com/CW1a5GXCcddoAq1Pzt3CsQ__original/img/8WXfPcHIot2Y7Mms_ejpjm_suQU=/0x0/filters:format(jpeg)/pic71522.jpg
16899,
16900,https://cf.geekdo-images.com/dvfBN0-_iQs_1y5bWukzxA__original/img/yjvwdIhNLhioZPqJ2ARkUzxDqB0=/0x0/filters:format(jpeg)/pic71518.jpg
16901,
16902,https://cf.geekdo-images.com/vo4x5bYuZhaK5iXK9FmW1g__original/img/8V55LsNAg_d_0Pql6OWTRNIdp8w=/0x0/filters:format(jpeg)/pic8084929.jpg
16903,
16904,https://cf.geekdo-images.com/zrviPkltZm2RV_uskKCWlw__original/img/vF1aalxAsimEi2Gd6VXC6gfeaQc=/0x0/filters:format(jpeg)/pic71516.jpg
16906,
16907,https://cf.geekdo-images.com/tx7xJzCs3b7L2J5rkoFmzg__original/img/ez38hGD5bO7O8DzbxXVLtyjFiLw=/0x0/filters:format(jpeg)/pic71514.jpg
16908,https://cf.geekdo-images.com/e__cYlVXllnIlX4xYpcBog__original/img/M7sUXOXUaqbDJ9T6-E4hrPZsMc8=/0x0/filters:format(jpeg)/pic71513.jpg
16909,
16910,https://cf.geekdo-images.com/Ujh1xghrozLa_U4f4oGD2w__original/img/GP3U8dA1VA8HfcoX0er1_7SoATA=/0x0/filters:format(jpeg)/pic230400.jpg
16911,
16912,https://cf.geekdo-images.com/8WMy6hEI7I0aKgWVgEbBPg__original/img/Dcv0sVOhJswAsixF1dTyWJBYQB8=/0x0/filters:format(jpeg)/pic71559.jpg
16913,https://cf.geekdo-images.com/9f_GSZVDwoEGDp-9i9Lf-g__original/img/zX6_O5IJVq6ECiGGWApGIkNXTB4=/0x0/filters:format(jpeg)/pic7165855.jpg
16914,https://cf.geekdo-images.com/DmO35G9GYz6Gzm0eLJQ53w__original/img/ifpgYKql_u3MAO0FywY3i3eS9fI=/0x0/filters:format(jpeg)/pic71509.jpg
16915,
16916,https://cf.geekdo-images.com/AegkBOc4Nnlc_qdjAz0hDw__original/img/XJPbeKE1wwid_0BiCJyHhY-vm9E=/0x0/filters:format(jpeg)/pic71558.jpg
16917,https://cf.geekdo-images.com/4Py-lo8DJC5t2zonMx1YqA__original/img/ST29W-7oyOVmZ2wVR0IstT1JH9g=/0x0/filters:format(jpeg)/pic71507.jpg
16919,https://cf.geekdo-images.com/mRzTaaNwB2W7DCmVYD2hcA__original/img/451mEsYILfjuoZryEigtm67_Cc8=/0x0/filters:format(jpeg)/pic71506.jpg
16920,https://cf.geekdo-images.com/D3ota47jXMOWPHrsxkLFOQ__original/img/E_3GagEJDMShOb1oFWRk5_sFdR0=/0x0/filters:format(jpeg)/pic71505.jpg
16921,
16922,https://cf.geekdo-images.com/eVa5XBJklKVd78y1a0s-lw__original/img/qX-JBJFwCO3oijxY2OLiBCJDXXk=/0x0/filters:format(jpeg)/pic1716726.jpg
16923,https://cf.geekdo-images.com/QKtNLEDk_6XyaYNyjxZgFA__original/img/yOGgiGoZPDlhwWV3St1ieX0rmZc=/0x0/filters:format(jpeg)/pic71545.jpg
16924,
16925,https://cf.geekdo-images.com/efayQ39r9MO3L9MiUlBtDg__original/img/mey8G_z-YAfNaMhDnhMwD32_RkU=/0x0/filters:format(jpeg)/pic1268701.jpg
16926,https://cf.geekdo-images.com/prMLBAOq1i4NB-7D-wLCZg__original/img/B5QjpbsAC1iT9yScARK5HsrFddo=/0x0/filters:format(jpeg)/pic203472.jpg
16927,
16929,https://cf.geekdo-images.com/Wmyg7xsex7ORwTxRadFwzg__original/img/-KSYgSyZZ0oxJ6mDkz6I8-lGZ00=/0x0/filters:format(jpeg)/pic1185857.jpg
16930,
16931,https://cf.geekdo-images.com/Hg_y55i_NQ8kqt1MupgiCA__original/img/DZKU2T_RzH0v4znA3FDOU2B_KFc=/0x0/filters:format(jpeg)/pic3725102.jpg
16932,
