bgg_id,image
17922,https://cf.geekdo-images.com/KZhGqr2YhdfiBZFMvGDAag__original/img/5IpQNmUd3P1E0dXqXGjsvgIJfRk=/0x0/filters:format(jpeg)/pic1112524.jpg
17923,https://cf.geekdo-images.com/V10uN2T32ZAJVB309Rs-Eg__original/img/lsymDBYTuwTP9YBTGcfEnthvW8M=/0x0/filters:format(jpeg)/pic78242.jpg
17924,
17925,https://cf.geekdo-images.com/9AY_OhCBW3lAKPmXwCnYHw__original/img/-kb-V0_0l_eFxP4bx6anmnEQn7k=/0x0/filters:format(jpeg)/pic78236.jpg
17926,https://cf.geekdo-images.com/hE3eQq9pyt7AX_7EnidZhw__original/img/5b9npjJD3NmHiBeu-38usSt0z-g=/0x0/filters:format(jpeg)/pic4385270.jpg
17927,
17928,https://cf.geekdo-images.com/dfR2KTh1RGMfCvMYFKWK-w__original/img/0gK3uXYojyra2XayJz14JaMDm0E=/0x0/filters:format(jpeg)/pic78181.jpg
17929,
17930,https://cf.geekdo-images.com/EMn2Z0Mtnsn4mcGHy91lCg__original/img/gCLtbD2QKQZdndmdleWyNs8LuPU=/0x0/filters:format(jpeg)/pic2511107.jpg
17931,
17932,https://cf.geekdo-images.com/Y9dkiA164cPBmfKvVYHDBw__original/img/orc0_cvDHoimhonC_OMALd9rkLA=/0x0/filters:format(jpeg)/pic78185.jpg
17933,https://cf.geekdo-images.com/ajqDqsYqmdeb6fXSIhhaaw__original/img/S14Pu1j_rMSgwt1WEvyZ8QSwdwA=/0x0/filters:format(jpeg)/pic78187.jpg
17934,https://cf.geekdo-images.com/NeOEGmzoKVnu_-Z1zANHIA__original/img/-MmH3yE8VxOdDC3T5g9dVNOB6Jc=/0x0/filters:format(jpeg)/pic78190.jpg
17935,
17936,https://cf.geekdo-images.com/Z-EAF7Y74p5nEYmb3LUXDw__original/img/5RAQp47NTsUy0rlqi5jX5pRdXJc=/0x0/filters:format(jpeg)/pic78201.jpg
17937,https://cf.geekdo-images.com/yBTod0TOAYOq2yi41SlKbw__original/img/s3ex5CD-bjUeiyIPzTcFkBmj9K4=/0x0/filters:format(jpeg)/pic78292.jpg
17938,
17939,https://cf.geekdo-images.com/b_nfMbNUoQQAVAy0b0W1aQ__original/img/Wwm1SrPRKnxwjEzqaVvEJoX2s5g=/0x0/filters:format(jpeg)/pic1220014.jpg
17940,
17941,https://cf.geekdo-images.com/dYf8B9JLTZxEn-W96CKO7A__original/img/dem3QWgYN-NsYsLhWvcRf8ec_ms=/0x0/filters:format(jpeg)/pic8077213.jpg
17942,
17943,https://cf.geekdo-images.com/0uUFAumZyfTkUFuGLY5Unw__original/img/QEh5e0CQElculEhXp65HDpkUpI0=/0x0/filters:format(jpeg)/pic7936334.jpg
17944,
17945,https://cf.geekdo-images.com/uIC8aNeB2nVfoGnuWTjDJA__original/img/9WQ6KuqJmyv7yRMuav4gWQg65HY=/0x0/filters:format(jpeg)/pic1109391.jpg
17946,
17947,https://cf.geekdo-images.com/pybDOJ7US-yfXNJHdF4Kzw__original/img/1UIowoD0OAS5CKDvt5vehOVArnQ=/0x0/filters:format(jpeg)/pic855241.jpg
17948,
17949,https://cf.geekdo-images.com/1nrzfjx9UjmkqGkMmIRQHg__original/img/jtQH9UDG-e8GlulrbVBs-WwQ4lk=/0x0/filters:format(jpeg)/pic79116.jpg
17950,
17952,https://cf.geekdo-images.com/eFm8c6XIus1jx8CrVGe3iQ__original/img/rvgo86jSwftYP8RMGs0l0kTfLoA=/0x0/filters:format(jpeg)/pic78207.jpg
17953,
17954,https://cf.geekdo-images.com/xWWXQkwg0oy5zfx0vF7N0Q__original/img/CK2ucrxU_0vPZ1AfTw92oI6IcyE=/0x0/filters:format(jpeg)/pic311303.jpg
17956,
17957,https://cf.geekdo-images.com/E9WvQ-7Zc7Kbcl79MsSYug__original/img/lbmpj5L7fXFP-nxbYwaxcVoN07c=/0x0/filters:format(jpeg)/pic79552.jpg
17958,
17959,https://cf.geekdo-images.com/aHAVLgL9uDbp2BPVrMZxJw__original/img/fpoZftPhXFIKDvjokx6yCzNC6CY=/0x0/filters:format(jpeg)/pic100247.jpg
17960,
