bgg_id,image
17814,
17815,https://cf.geekdo-images.com/p5ytt9VE7J_3AmYBD6BZRw__original/img/a23VtFv6zfL5QOl9H4F1XdJNCQY=/0x0/filters:format(jpeg)/pic1074219.jpg
17816,
17817,https://cf.geekdo-images.com/GXYUGSgoQjq_aeQNZ8WiJg__original/img/q4j2ebdiVCA-cFAoxLNdVcOzG-c=/0x0/filters:format(jpeg)/pic78288.jpg
17818,
17819,https://cf.geekdo-images.com/hZFgNQvuXp2a3NhUUwL0yA__original/img/BHdAVviJkjF90QNOgt9XJg7UdUU=/0x0/filters:format(jpeg)/pic89947.jpg
17821,
17822,https://cf.geekdo-images.com/1AzmsCNfPE90rTcX8kSvaQ__original/img/fPgiagpOgcobkapywKmP7czg8Ms=/0x0/filters:format(jpeg)/pic77294.jpg
17823,
17824,https://cf.geekdo-images.com/KV-XZxyZZzgr8iC8KpQLsA__original/img/iK3QjGx_z-ByfcGf3wNnLw09Qf0=/0x0/filters:format(jpeg)/pic205516.jpg
17825,
17826,https://cf.geekdo-images.com/fKzOyAsu5S30ZHfjOChTWA__original/img/m-WCsa6kgcVJ8cI91jPXiUVWCBo=/0x0/filters:format(jpeg)/pic182518.jpg
17827,
17828,https://cf.geekdo-images.com/aRJfhwU-rv23LEWJlnc-hA__original/img/Mm0xjg49eXPCdIIW1DxDankUjvw=/0x0/filters:format(jpeg)/pic195224.jpg
17829,
17830,https://cf.geekdo-images.com/cFDSpVcNhW6CjRQkzAEASQ__original/img/py5IlTrgDGMBMQ8BJehjRUoes7Y=/0x0/filters:format(jpeg)/pic3828125.jpg
17831,
17832,https://cf.geekdo-images.com/bEDhnel9-btH9MxCvOt_xA__original/img/FQ5GZFuU0E7T3s4CfOYC_3Futh8=/0x0/filters:format(jpeg)/pic183996.jpg
17833,
17834,https://cf.geekdo-images.com/ZEwY_iQXp_8xkpyZLTT6Kg__original/img/Arp1pnbSzk2xUvvkA1vf7Q0CNQU=/0x0/filters:format(jpeg)/pic192335.jpg
17835,
17836,https://cf.geekdo-images.com/pbHVdYSQD6KOQc80b6fseA__original/img/eGgT6TlZLGLyjt9xLvnUZ6zoWB4=/0x0/filters:format(jpeg)/pic77460.jpg
17837,
